# AIRGLOW LINE LIST for SKYCORR (Noll et al. 2013)
# based on
# - Hanuschik (2003) and Cosby et al. (2006) UVES line atlas
#   for optical non-OH lines and OH lines with delta v >= 4
#   (scaled to mean intensities of the Patat (2008) FORS1 data set)
# - OH calculations of Rousselot et al. (2000)
#   for Einstein coefficients of Goldman et al. (1998) instead of Mies (1974)
#   (scaled to the measured OH intensities in the optical)
# - O2 bands at 1.27 and 1.58 mum from the HITRAN database for 200 K
#   (scaled to match mean O2/OH band flux ratios of an XSHOOTER NIR data set)
# Meaning of Columns:
# Wavelength: line centres in vacuum and mum
# Flux: unextincted line flux in phot/sm2as2
# Trans: absorption-related transmission at zenith for Cerro Paranal mean
#        conditions
# Different variability classes are indicated:
# Type: 1: OI5577, 2: NaID, 3: OIred, 4: OH, 5: O2
# Flag for roto-vibrational systems (A and B groups defined):
# System: 0: no B groups defined, 1: OH, 2: O2(b-X), 3: O2(a-X)
# Fine classification by two group IDs:
# GroupA: e.g. same electronic states or vibrational transitions
# GroupB: e.g. same rotational upper levels
# For more details: SKYCORR user manual and Noll et al. (2012, A&A 543, A92)
# Wavelength[mum] Flux[phot/sm2as2] Trans[X=1] Type System GroupA GroupB
0.373464   0.0010 0.999957  5  0 41  0                                          
0.373508   0.0008 0.999958  5  0 41  0                                          
0.373527   0.0017 0.999957  5  0 39  0                                          
0.373560   0.0014 0.999955  5  0 41  0                                          
0.373587   0.0014 0.999950  5  0 39  0                                          
0.373611   0.0005 0.999944  5  0 41  0                                          
0.373677   0.0006 0.999929  5  0 41  0                                          
0.373743   0.0009 0.999929  5  0 39  0                                          
0.373804   0.0021 0.999936  5  0 39  0                                          
0.373868   0.0008 0.999937  5  0 41  0                                          
0.373886   0.0011 0.999937  5  0 39  0                                          
0.373915   0.0007 0.999936  5  0 39  0                                          
0.373958   0.0020 0.999933  5  0 41  0                                          
0.373989   0.0005 0.999930  5  0 39  0                                          
0.374016   0.0031 0.999926  5  0 39  0                                          
0.374037   0.0019 0.999922  5  0 39  0                                          
0.374067   0.0036 0.999917  5  0 39  0                                          
0.374084   0.0012 0.999914  5  0 39  0                                          
0.374095   0.0002 0.999913  1  0  1  0                                          
0.374213   0.0024 0.999911  5  0 39  0                                          
0.374269   0.0019 0.999911  5  0 39  0                                          
0.374459   0.0026 0.999911  5  0 39  0                                          
0.374486   0.0011 0.999911  5  0 39  0                                          
0.374512   0.0030 0.999911  5  0 39  0                                          
0.374757   0.0031 0.999912  5  0 39  0                                          
0.374784   0.0011 0.999912  5  0 39  0                                          
0.374814   0.0017 0.999911  5  0 39  0                                          
0.375117   0.0008 0.999865  5  0 39  0                                          
0.375142   0.0001 0.999864  5  0 39  0                                          
0.375173   0.0013 0.999865  5  0 39  0                                          
